show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,TV Show,Sample Title 1,Director 13,"Actor 16, Actor 159",Germany,12-02-2018,2018,PG,3 Seasons,Drama,Sample description for Tableau practice dataset.
s2,Movie,Sample Title 2,Director 23,"Actor 80, Actor 199",United States,26-08-2022,2000,TV-14,111 min,Documentary,Sample description for Tableau practice dataset.
s3,Movie,Sample Title 3,Director 3,"Actor 85, Actor 178",Japan,22-08-2020,2000,PG-13,108 min,Comedy,Sample description for Tableau practice dataset.
s4,TV Show,Sample Title 4,Director 22,"Actor 56, Actor 109",Spain,15-06-2016,2001,PG-13,4 Seasons,Drama,Sample description for Tableau practice dataset.
s5,TV Show,Sample Title 5,Director 34,"Actor 57, Actor 149",United States,20-11-2016,2000,R,3 Seasons,Horror,Sample description for Tableau practice dataset.
s6,Movie,Sample Title 6,Director 19,"Actor 48, Actor 120",United Kingdom,22-06-2021,2002,PG-13,108 min,Documentary,Sample description for Tableau practice dataset.
s7,Movie,Sample Title 7,Director 3,"Actor 79, Actor 112",Canada,26-03-2017,2012,R,132 min,Thriller,Sample description for Tableau practice dataset.
s8,Movie,Sample Title 8,Director 29,"Actor 24, Actor 129",India,14-05-2022,2002,PG,123 min,Comedy,Sample description for Tableau practice dataset.
s9,Movie,Sample Title 9,Director 15,"Actor 65, Actor 101",South Korea,22-02-2019,2020,TV-14,128 min,Drama,Sample description for Tableau practice dataset.
s10,Movie,Sample Title 10,Director 21,"Actor 96, Actor 169",Canada,26-01-2017,2018,TV-MA,104 min,Comedy,Sample description for Tableau practice dataset.
s11,Movie,Sample Title 11,Director 38,"Actor 75, Actor 139",Canada,26-02-2021,2012,TV-Y7,115 min,Adventure,Sample description for Tableau practice dataset.
s12,TV Show,Sample Title 12,Director 21,"Actor 28, Actor 120",Germany,19-01-2019,2016,TV-Y7,2 Seasons,Drama,Sample description for Tableau practice dataset.
s13,TV Show,Sample Title 13,Director 36,"Actor 91, Actor 187",Germany,29-08-2021,2003,TV-14,2 Seasons,Thriller,Sample description for Tableau practice dataset.
s14,Movie,Sample Title 14,Director 7,"Actor 81, Actor 130",Japan,17-10-2020,2021,TV-Y,130 min,Comedy,Sample description for Tableau practice dataset.
s15,TV Show,Sample Title 15,Director 27,"Actor 16, Actor 103",Canada,14-04-2019,2017,R,5 Seasons,Sci-Fi,Sample description for Tableau practice dataset.
s16,Movie,Sample Title 16,Director 32,"Actor 39, Actor 111",Germany,26-02-2016,2008,PG,134 min,Adventure,Sample description for Tableau practice dataset.
s17,TV Show,Sample Title 17,Director 33,"Actor 35, Actor 141",United States,12-10-2020,2004,TV-MA,5 Seasons,Romance,Sample description for Tableau practice dataset.
s18,TV Show,Sample Title 18,Director 32,"Actor 75, Actor 165",India,25-05-2020,2016,TV-14,4 Seasons,Kids,Sample description for Tableau practice dataset.
s19,Movie,Sample Title 19,Director 1,"Actor 56, Actor 105",Brazil,29-01-2016,2000,R,140 min,Action,Sample description for Tableau practice dataset.
s20,Movie,Sample Title 20,Director 12,"Actor 59, Actor 101",India,01-11-2019,2023,TV-Y7,122 min,Sci-Fi,Sample description for Tableau practice dataset.
s21,Movie,Sample Title 21,Director 8,"Actor 84, Actor 124",South Korea,18-05-2016,2024,TV-14,102 min,Horror,Sample description for Tableau practice dataset.
s22,Movie,Sample Title 22,Director 9,"Actor 45, Actor 151",Germany,22-07-2016,2011,PG,128 min,Horror,Sample description for Tableau practice dataset.
s23,Movie,Sample Title 23,Director 34,"Actor 84, Actor 116",United States,05-03-2022,2001,TV-MA,114 min,Comedy,Sample description for Tableau practice dataset.
s24,TV Show,Sample Title 24,Director 38,"Actor 1, Actor 199",India,24-03-2018,2014,TV-MA,4 Seasons,Drama,Sample description for Tableau practice dataset.
s25,TV Show,Sample Title 25,Director 33,"Actor 25, Actor 119",France,18-04-2016,2005,PG-13,3 Seasons,Thriller,Sample description for Tableau practice dataset.
s26,Movie,Sample Title 26,Director 37,"Actor 91, Actor 127",India,29-05-2019,2005,R,132 min,Adventure,Sample description for Tableau practice dataset.
s27,TV Show,Sample Title 27,Director 26,"Actor 94, Actor 149",India,19-10-2018,2023,TV-Y7,2 Seasons,Comedy,Sample description for Tableau practice dataset.
s28,TV Show,Sample Title 28,Director 21,"Actor 69, Actor 170",United States,17-06-2020,2022,PG,3 Seasons,Documentary,Sample description for Tableau practice dataset.
s29,TV Show,Sample Title 29,Director 27,"Actor 57, Actor 161",Canada,03-06-2021,2015,PG-13,5 Seasons,Thriller,Sample description for Tableau practice dataset.
s30,Movie,Sample Title 30,Director 3,"Actor 21, Actor 164",India,19-04-2020,2015,TV-14,107 min,Drama,Sample description for Tableau practice dataset.
s31,Movie,Sample Title 31,Director 37,"Actor 46, Actor 139",Spain,14-12-2017,2006,TV-Y7,112 min,Action,Sample description for Tableau practice dataset.
s32,TV Show,Sample Title 32,Director 13,"Actor 1, Actor 188",India,25-03-2019,2004,TV-14,4 Seasons,Romance,Sample description for Tableau practice dataset.
s33,Movie,Sample Title 33,Director 1,"Actor 94, Actor 129",India,16-05-2016,2006,TV-MA,140 min,Comedy,Sample description for Tableau practice dataset.
s34,Movie,Sample Title 34,Director 33,"Actor 47, Actor 177",South Korea,04-08-2017,2007,R,96 min,Comedy,Sample description for Tableau practice dataset.
